index,title,authors,college,department,abstract,keywords,pubdate
155,The Role of Foreign Service Program on Strengthening Intercultural Communication Sensitivity of Foreign Service Students In Lyceum of the Philippines University — Cavite,Lean Dale A. Igos Erica Joyce B. Acedera Hazel Erica B. Semilla,COLLEGE OF LIBERAL ARTS AND EDUCATION,Bachelor of Arts in Foreign Service,"The researchers, as a Foreign Service students and part of this globalized generation, observed that the program does not only serve as a front liner of the country and produces experts when it comes to the application of foreign policies through diplomacy, but also as a tool to educate its students to be holistic and to be literate on how to communicate with the different people regardless of their cultures by having subjects that are related on engaging and empowering diplomatic communication and multiculturalism. This idea is based on the occurrence of the 21st Century where globalization evolves, as the countries become borderless and the people already have the chance to travel and to communicate in different parts of the world; the program may help to decrease the intolerance and other disadvantages that may result from the cultural diversity in one community such as racism, xenophobia, and others. In order to prove and identify the roles of the program, the researchers used the basic qualitative approach wherein they conducted in-depth research interviews with the participants that are chosen through the method of purposive sampling technique. The first set of interviews are done together with 5 (five) Foreign Service students of LPU Cavite, having an interviewee at each level (from first year to student who graduated in Foreign Service and is now pursuing a field that is related to the program). The second sets of interviews are conducted together with experts in the field who are also teaching or had an experience on teaching the course program. After the series of interviews, the researchers proceeded to the analysis of data through the use of Deductive Thematic Analysis wherein it resulted into several themes that are identified based on the answers of the interviewees and helped the researchers to summarize and answer the stated problems in the paper.","Keywords: Foreign Service Program, Intercultural Communication Sensitivity, Universities, Curriculum, Cultural Intolerance",December 2022
156,A THEORETICAL ANALYSIS OF FREEDOM OF INFORMATION AS A SIGNIFICANT TOOL IN MINIMIZING GRAFT AND CORRUPTION IN THE PHILIPPINES,JAQUELYN SUZANE CABADIN NASHREEN NOHLEEN DEL PUERTO ROEY ELAINE MERLIN,COLLEGE OF ARTS AND SCIENCES,Bachelor of Science in Foreign Service,The study was conducted to determine the significance of Freedom of Information Bill in minimizing graft and corruption in the Philippines. The Freedom of Information gives us the right to know and right to access to any information from any government offices using the descriptive approach. For data gathering the researchers used interviews which are voice recorded. Data was gathered by using interview questionnaires that was emailed to the respondents. Expert sampling technique was utilized to interview proficient professionals subject to the focus of the study. The Key Informants of the study was three personalities in their respective fields related to the subject matters. The results show that FOI Bill can play a huge step for the Philippines into a less corrupt and more transparent government system. It is beneficial for entire country.,"Keywords: Freedom of Information Bill, Graft and Corruption, Right to Access",March 2016
157,SELF-ASSESSMENT ON CALL CENTER INDUSTRY AS AN EMPLOYMENT OPPORTUNITY BY FOREIGN SERVICE STUDENTS OF LYCEUM OF THE PHILIPPINES UNIVERSITY- CAVITE S.Y. 2015-2016,MAILA JOYCE B. BARRANTES MARIAM L. FAQIHI MARIEL LIZA M. MASICAP ALEXANDRIA B. PAPA,COLLEGE OF ARTS AND SCIENCES,Bachelor of Science in Foreign Service,"The purpose of this research is to assess the Foreign Service students of Lyceum of the Philippines University-Cavite S.Y. 2015-2016 on Call Center industry as an employment opportunity. Mixed Methods Research which is also known as Multimethodology was used in the study combining an interview and a survey questionnaire. An interview was made with Mr. Emil Estorninos, who is the AVP-Talent Acquisition at iQor located at SM Dasmariñas, Region IV-A CALABARZON, Philippines and to Mr. Gillian Gonzaga, Chief Executive Officer at Summerwind Skills and Training Center which is located on the City of Dasmariñas, Province of Cavite. While a survey is conducted at LPU-C having Foreign Service students enrolled in S.Y. 2015-2016 as the respondents. The survey questionnaire prepared by the researchers was used, based on the information gathered from the interview. The results show that first, a Call Center agent should have good communication skills as what is stated by the interviewee. Second, most factors that make Foreign Service students consider Call Center industry as a workplace are the benefits that the Call Center provides specifically the monetary benefit, Health/Medicare Benefit and above minimum wage salary. Lastly, researchers found out that entering Call Center would enhance your skills especially self- confidence, socialization, diction, accent, language skill, leadership, teamwork, competitiveness, and efficiency in handling assigned task. On the other hand, the researchers also found out that under Category A: Self-Assessment of Foreign Service students in entering the Call Center industry. Participants from the First year to Fourth year Foreign Service students moderately agree that they have good communication skills, customer-service oriented, can work under pressure, have a healthy lifestyle, a computer literate, a multilingual speaker and on demand job hiring. Lastly, under Category C: Self-Assessment of Foreign Service students regarding the personality and interpersonal skills that Call Center can contribute. Participants from First year to Fourth year moderately agree that Call Center car. contribute to the enhancement of self- confidence, socialization, diction, accent, language skill, patience to the clients and co- workers, leadership, teamwork, competitiveness and efficiency in handling the assigned work. The researcher further recommends including other significant variables not included in the study.","Keywords: Foreign Service students, Call Center industry, Lyceum of the Philippines University-Cavite",March 2016
158,A CONTENT ANALYSIS OF PRESIDENT DUTERTE’S COMMUNICATION STYLE AMONG HIS SELECTED STATEMENTS,Patricia Kyle R. Cabiling Rafael C. Cadungon Franchezka N. Escasinas Grace Lynn L. Mendoza,COLLEGE OF ARTS AND SCIENCES,Bachelor of Arts in Foreign Service,"The study is about the communication style of President Duterte. The purpose of the study is to understand his communication style and how it affects his leadership, to identify the implications of his communication style and to determine if the president violates national ethical standard. The researchers gathered data relevant to study which are presented in the Review of Related Literature in the study. A Basic Qualitative Research in the form of Content Analysis was used in the study, the researchers gathered videos and articles of President Duterte expressing his communication style wherein swear words and profanity are involved. A validation was secured with two key informants who are political analyst and their own insights were added to validate the study. Results showed that President Duterte's communication style is a strategy to strengthen leadership and to get the attention of the public, his communication style does not violate national ethical standard since its basis is on actions not on words, and lastly, the results showed that communication style of the president is used in three ways: control tactics, manipulation, and intimidation.","Keywords: Communication Style, Aggressive Communication Style and President Duterte",April 2018
159,"A STUDY OF THE EFFECTS OF AHON LAHAT, PAGKAING SAPAT (ALPAS) PROGRAM TO THE AGRICULTURAL CROP SECTOR IN CALABARZON DURING THE COVID-19 PANDEMIC",Sophia Patrice E. Conde Claire L. Madriaga Noellyn V. Malveda Kiana F. Ramirez,COLLEGE OF ARTS AND SCIENCES,Bachelor of Arts in Foreign Service,"The purpose of this study is to determine the effect of the Ahon Lahat Pagkaing Sapat (ALPAS) program on the agricultural crop sector during the Covid-19 pandemic. The world is confronted with an unexpected global crisis in the form of the COVID-19 pandemic. Nations have been threatened by food insecurity, which can lead to starvation. By establishing the ALPAS Program, the Philippine government paved the way for the Department of Agriculture to assist in mitigating the effects of the pandemic. This became an opportunity to promote agriculture while also preventing food insecurity in the country. In response to the crisis, the government established a program that assists farmers, consumers, and helps increase food production. This study identified the ALPAS Program's strengths, weaknesses, opportunities, and threats as a solution to the Agricultural Crisis During the Pandemic. The respondents are from ATI- CALABARZON, the Department of Agriculture-CALABARZON, and a group of farmers from CALABARZON. The researchers indicated that the aforementioned program will assist the farmers during the pandemic. The Department of Agriculture established the Plant Plant Plant program, also known as the ALPAS Program, to assist farmers and resolve food insecurity during pandemic. This study analyzed the effectiveness of ALPAS Program in CALABARZON. In order to achieve the goal of this study, in-depth interviews were conducted with ATI CALABARZON participants, a group of farmers, and a representative of the Department of Agriculture, as well as the use of secondary resources.","Keywords: Effects of ALPAS Program, Agriculture, Farmers, Prevention of food security, The Department of Agriculture",December 2021
160,The Implications of the Covid-19 IATF Guidelines Towards Changes in Hocheng Philippines Company Protocols: A Multinational Company's Perspective,"AVILA, JOSHUA M. LEGASPI, JOHN CARLO G. PELAYO, GEO ARLEY TOPACIO, LENARD M. ",COLLEGE OF LIBERAL ARTS AND EDUCATION,Bachelor of Arts in Foreign Service,"This study analyzed the effects of IATF guidelines on how the study's participant corporation has adopted and coped up with the domestic laws and mandates pertaining to the containment of the transmission of the virus. Content Analysis was utilized in the study to collectively structure and analyze the data from the key respondents relevant to the subject matter. Structured interviews were made with the Hocheng Corporation's human resources department, the Department of Labor and Employment, and the Local Government Office. Based on the analyzed data from the study, the results show that Governmental Interventions constitute significant changes within the internal policies of the corporation prior to the creation of general guidelines being imposed by the IATF in an attempt to minimize the adverse effects of the virus in the general population. Furthermore, the nature of these guidelines being open for supplemental changes has proven to be beneficial to the corporation since additional initiatives enhancing these general provisions were incorporated based on the needs of the company. In addition, the Hocheng Corporation has been compliant towards these changes manifested by its certification of safety seal from the Department of Labor and Employment and its self-initiatives in enhancing the minimum health standards within the workplace environment. It is concluded that the association of governmental interventions such as the IATF guidelines has a significant effect towards the subject corporation level of compliance and initiatives reflected on its internal policy changes. Along with the ""New Normal"" setting, it is recommended that the institutionalization of the DOLE's safety seal as part of the government's policy regarding minimum health standards should be imposed to further enhance general health conditions of the employed within their workplace.","Keywords: COVID-19, Inter-Agency Task Force Guidelines, MNCs, Company Protocols",December 2022
161,Vaccine Diplomacy: A new Strategy To Enhance Diplomatic Tie Between China,Rosann G. Cabante Danica Aira R. Cabatic Anne Jewel M. Obrero,COLLEGE OF LIBERAL ARTS AND EDUCATION,Bachelor of Arts in Foreign Service,"The study’s overall purpose is to empathize on how the covid-19 challenged the Diplomatic tie between Philippines and China. This is to show that behind every conflict with your allies, setting aside the ongoing issues and enhancing more cooperation is a way to shorten the period of global health crisis and also a way of saving the people of your country amidst of pandemic. Also, this will serve as a guide that behind every pandemic and global health crisis, the importance of diplomacy should never be forgotten in the field of Foreign Service. It highlights on how Philippines and China promote vaccine cooperation in dealing with Covid-19 pandemic despite the ongoing issues behind. In this paper, it highlights the use of Vaccine Diplomacy to renew the existing relationship of Philippines and China. Lastly, this study manifests that in dealing with global problems such as pandemic, we also be needing global partners, so that the pandemic will no longer prolong.","Keywords: COVID-19, Vaccine Diplomacy, China, Philippine",December 2022
162,A CASE STUDY ON DISASTER RISK REDUCTION AND MANAGEMENT ON SELECTED AREAS IN CAVITE,Diana Rose A. Banzuela Caryl Mae C. Isles Danna Jean M. Lasprillas Dongyeong Seo,COLLEGE OF ARTS AND SCIENCES,Bachelor of Arts in Foreign Service,"This study was designed to assess the preparedness of the Local Government Units of selected areas in Cavite prior to the calamity occurrence. As well as the awareness of the residents of the two selected areas which are the City of Bacoor and Municipality of Silang. Another purpose of this study is to evaluate the complimentary activities of National Government and the Local Government in terms of preparing for calamities and making their constituents aware and prepared with regards to disaster preparedness. Bacoor City was included in the study because it is vulnerable to flood especially when there is a typhoon. Silang, on the other hand, is located along the West Valley Fault which is at risk when the ‘Big One’ earthquake happens. This study also scrutinized and analyzed the implemented plans and programs of the two Local Government Units as well as the assessment of the improvement of the respond of the Local Government Units to their constituents and the response and participation of the residents of the two communities from year 2013-2016 to their Local Government Unit’s programs This research suggests that there should be strong relationship among the National Government, Local Government an d their people to lessen the risk of disaster and avoid casualties during disaster strike.","Keywords: Case Study, Disaster Risk Reduction and Management, Selected Areas in Cavite",April 2018
163,A COMPARATIVE STUDY OF THE PERSPECTIVE OF SELECTED FOREIGN SERVICE AND LEGAL STUDIES STUDENTS TOWARD CAPITAL PUNISHMENT,Rethzel Gail G. Valentin Joice Ann S. Aala Patricia Anne F. Toque Yra Crystalyn Nicole Pilpil Christine Joy R. Camungay,COLLEGE OF ARTS AND SCIENCES,Bachelor of Science in Foreign Service,"Specifically, this study aimed to: describe the demographic profile of selected Foreign Service and Legal Studies students of LPU-Cavite enrolled for the second semester, AY 2015-2016, identify the sources of information of Foreign Service and Legal Studies students about capital punishment; examine the perspective of Foreign Service and Legal Studies students towards capital punishment; ascertain whether significant difference exists between the perspective of Foreign Service and Legal Studies students towards capital punishment; and determine whether there is a significant relationship between the demographic profile of Foreign Service and Legal Studies students and their perspective towards capital punishment. A typical Foreign Service and Legal Studies student of LPU-Cavite is 19 to 20 years old, female and Catholic. Television and the Internet are the most common sources of information about capital punishment among Foreign Service and Legal Studies students of LPU-Cavite. Evidence shows that Foreign Service and Legal Studies students of LPU-Cavite are more likely to support capital punishment. It would appear that the majority of Foreign Service and Legal Studies students in this study agree with the views about the death penalty. Not only are students more likely to support capital punishment, the perspective of Foreign Service and Legal Studies students are generally similar in which these two groups did not differ significantly on many of the reasons for supporting the death penalty.",,March 2016
164,A COMPARATIVE ANALYSIS BETWEEN UNITARY AND MODEL RAL GOVERNMENT IN PHILIPPINE CONTEXT ON ACCOUNT OF GOOD GOVERNANCE,KRYSTLE V. FERNANDEZ ROSELENE JOIE L. RONQUILLO MIRAH FAYE G. SANTOS,COLLEGE OF ARTS AND SCIENCES,Bachelor of Science in Foreign Service,"The purpose of this research is to conduct a comparative analysis between the Unitary and Model Federal Government in the Philippines, to determine which of them fosters good governance. The researchers used qualitative-comparative research with standardized interview and assessment to gather data from the responses of the key informants at the conduct of the study. Prominent political analysts, Mr. Edmund Tayao and Mr. Ramon Casiple; local government official from the Municipality of Magallanes, Cavite, Ms. Aina Sisante; former professor in University of the Philippines — Visayas, Mr. Hanibal Camua; a Dean of the University of the Philippines National College of Public Administration, Mr. Alex Brillantes; and a national elected official, Senator Pia Cayetano. The results show that the Philippines, under a Unitary government is very highly centralized, and in theory, is not suited for the needs of a diverse country like ours. Changing our system to a Federal system, would empower the local governments which would be a key to standardization in order to meet the basic needs of the people, making it easier for the people to get their needs because the people will be grouped in accordance to their culture and behavior. Hence, a federal government has a bigger probability of fostering good governance compared to unilateral but with the minimum percentage and possibility. But, it’s not the sole solution to everything. Changing the morale and values of the Filipino people should also be given utmost consideration for us to further promote and foster good governance in our country.","Keywords: Unitary System, Model Federal System, Good Governance",March 2016
165,A STUDY OF GENDER EQUALITY AND WOMEN EMPOWERMENT IN THE PHILIPPINES YEAR 2013,"Dometita, Ma. Janie Paula B. Juliano, Gracelyn M. Novio, Erika Joy R. Trias, Danisse Paula B.",COLLEGE OF ARTS AND SCIENCES,Bachelor of Science in Foreign Service,"The purpose of the study is first, to determine the gender equality and women empowerment in terms of career, education and politics; second, to identify the programs established by the government in promotion of gender equality and lastly, to determine the problem encountered by the government in promoting gender equality. To meet the specified objectives, the study applied descriptive method specifically used grounded theory as its research design. The questions were discussed at the City Government of Imus through one on one interview with the former President of Women Involved in National-Building (WIN). With a total number of thirteen (13) questions, the researchers carefully analyzed the answers from the interviewee. Based on the findings of the study, the following conclusions are drawn: few women candidacy, lack of coordination in the community and no platform were the reasons of having a small segment women in electoral seat, programs were implemented by the government to promote gender equality and women empowerment and problems were confronted regarding the problem.","Keywords: Gender Equality, Empowerment, Career, Education, Politics, Philippines",March 2015
166,A Comparative Study on the Status of Philippine Economy during the Presidency of Ferdinand Marcos between 1965-1969 (First Term) and 1972-1981 (Martial Law Era),PHILIP JETHRO S. MAISA LEISA NELL M.  MEMIJE APRIL SUMI C. NOVO ANGELIKA C. PASCION TRACEY LYN M. SOSA,COLLEGE OF ARTS AND SCIENCES,Bachelor of Science in Foreign Service,This study This comparative study which aimed to compare the economic status of the Philippines during the first term (1965-1969) and Martial Law years (1972-1981) under the Presidency of Ferdinand Marcos and measured the level of awareness of the students regarding Marcos Presidency. Forty Second year Foreign Service students answered the questionnaire designed to measure their level of awareness regarding the presidency of Marcos and interviewed an economist and a historian regarding the economic status of the Philippines under Marcos. Out of the forty participants there was high level of awareness of Marcos Presidency; however their ideas of Martial Law were about political turmoil and human rights issues. This study serves as the clarification regarding the economic status of Philippines under his Presidency. The results indicated that the Martial Law years performed better than the first term in terms of economic status.,,March 2017
167,EFFECTS OF COVID-19 PANDEMIC TO THE SELECTED LOCAL BUSINESS OF TAGAYTAY CITY IN 2020,Abbygail G. Duran Celina Jean D. Ferrer Jolliena C. Mastrili,COLLEGE OF ARTS AND SCIENCES,Bachelor of Arts in Foreign Service,"The COVID-19 pandemic has caused unprecedented change to the lives of people worldwide. Governments all across the globe grappled with the present resources to curb the spread of the disease by closing down entire economic sectors and imposing widespread restrictions on mobility. This condition has evolved into a major economic crisis which has burdened local businesses. In this study, the effects of COVID-19 pandemic on Tagaytay City's local business particularly on the losses as well as the interventions were examined. Anchoring on the Organizational Adaptation Theory of Podsakoff and MacKenzie (2016), the researcher utilized a qualitative research design to gather data from 10 purposely selected participants who were respective owners of local businesses in Tagaytay. Using the methodological approach of Thomas (2006), the findings revealed that there were notable losses due to the decline in tourism and travel which used to be one of the main sources of income in the city. Furthermore, there was also a significant decrease in the number of customers serviced by different industries; not only due to the imposed lockdown restrictions but also partly in fear of the health risks of acquiring the infection. Hence, the local business had to employ a skeletal workforce and reduce operation hours. In conclusion, the COVID-19 pandemic has contributed to significant income losses which led businesses to financial stagnation, net deficit, or even bankruptcy and eventual closure. As a result of the study, businesses are recommended to take advantage of e- commerce, as investing in this would considerably assist businesses in recovering since consumers have high preference of online transactions today. Finally, a comprehensive information platform should be implemented by the government to assist individuals who remain unemployed and are still job looking.","Keywords: COVID-19, Local Business",December 2021
168,"AN ASSESSMENT ON THE POLICY IMPLEMENTATION OF RA 9003: ECOLOGICAL SOLID WASTE MANAGEMENT ACT OF 2000 IN SELECTED BARANGAYS IN BACOOR, CAVITE FROM THE YEAR 2014-2016",KYLE KEVIN ABANO JERELA BIELLE A. AUSTRIA ANNE MARGARETTE C. QUINTO PAMELA LYKA Q. RAMACULA JUSTINE JUVYFAYE S. SEJERA,COLLEGE OF ARTS AND SCIENCES,Bachelor of Science in Foreign Service,"The purpose of this study is to know how the Local Government Unit of Bacoor comply with the basic policies of the Republic Act No. 9003 or the Ecological Solid Waste Management Act including the challenges they encounter in implementing the act. It also aims to determine the progress of the level of implementation of RA 9003 from the year 2014-2016. To attain its objectives, the study used qualitative method and specifically applying the exploratory research design. This research was conducted in the Bacoor City Government and the three (3) most populated barangays in Bacoor, these are the Molino Molino IV and San Nicolas III. Implementing bodies such as CENRO and PG-ENRO and officials specialized in Solid Waste Management in barangays participated by answering interview questions regarding the policy implementation of RA 9003. Results showed that in order to comply with the provisions of the act, Bacoor Local Government implemented ordinances that are also based on the salient points of the act. They also enumerated five (5) major challenges that they encounter in implementing the Solid Waste Management. Since the implementation of the 10-year SWMB, the generation of wastes is averaging of 263 tons per day while as of , the generation of waste is 154 tons per day. Given these findings, it can be concluded that even though Bacoor is the first city/municipality in Cavite that has an approved 10 year SWMP there are still a lot of problems they need to solve and improve to maintain their accountability.","Keywords: Local Government Unit, Policy compliance, RA 9003, Solid Waste Management",March 2017
169,THE EMPLOYABILITY AND COMPETENCE OF FOREIGN SERVICE STUDENTS OF LPU-CAVITE IN THE BUSINESS PROCESS OUTSOURCING INDUSTRY AMIDST THE -19 PANDEMIC,"Go, Pamella Dafhne E. Magundayao, Allen Kyle O. Mendoza, Amber A. ",COLLEGE OF LIBERAL ARTS AND EDUCATION,Bachelor of Arts in Foreign Service,"During the peak of the CoViD-19 pandemic in the Philippines, establishments were forced to shut down due to the guidelines provided by the Inter-Agency Task Force for CoViD- 19, Alongside these restrictions, many Filipinos were jobless in the middle of a health hazard since businesses that were on the brink of bankruptcy needed to reduce the manpower to continue operation. On the other hand, the Business Process Outsourcing Industry almost remained steadfast as 70% of the workforce in the said industry was still operating even if a global concern was crippling the country. Many people of different age brackets and social statuses were encouraged to apply to some BPO companies to relieve the burden brought by the pandemic. The Foreign Service students from LPU - Cavite were also part of the population who tried luck in the industry while living the new normal education scheme. focus of this study was to identify the qualities and skills that Foreign Service students possess that set them apart from students in other programs, make them stand out, and explain why HR Managers hired Foreign Service students even though they were aware that they were simultaneously pursuing their education and a job. The findings of this study revealed that Foreign Service students are competitive and good at time management, which distinguishes the program from other courses, and that the students are also more aware of how the international arena works, which benefits both the students and the company because the students can share the knowledge that they have gained through the company. Although conducting the survey was difficult due to data privacy concerns, respondents were given sufficient assurance that any information they provided would be used solely for the purpose of the study. The goal of this study is to better promote the Foreign Service program and to expose them to more opportunities outside of the university; this allows students and program enrollment to grow. Furthermore, the goal of this study is to serve as a foundation for future researchers and a reference for future research.","Keywords: CoViD - 19 Pandemic, Foreign Service Students, HR Managers, BPO Industry",December 2022
170,SELF-ASSESSMENT ON CALL CENTER INDUSTRY AS AN EMPLOYMENT OPPORTUNITY BY FOREIGN SERVICE STUDENTS OF LYCEUM OF THE PHILIPPINES UNIVERSITY- CAVITE 2015-2016,MAILA JOYCE B. BARRANTES MARIAM L. FAQTHI MARIEL LIZA M. MASICAP ALEXANDRIA B. PAPA,COLLEGE OF ARTS AND SCIENCES,Bachelor of Science in Foreign Service,,,March 2016
171,AN ASSESSMENT OF THE BALIKATAN EXERCISES TO THE MARITIME SECURITY OF THE PHILIPPINES,DHANICA A. BLANCO CHARMAINE MARIE D. GEOLAMIN CLAIRE D. LANCETA FAITH F. MAGHIRANG NINA H. VICEDO,COLLEGE OF ARTS AND SCIENCES,Bachelor of Science in Foreign Service,"This thesis explores how the Balikatan joint exercises series between the Republic of the Philippines and the United States contribute to the enhancement of the Philippine Maritime Security by analyzing literatures relevant to the study and conducting interviews with people who have credible understanding about the issue. The Balikatan series of military exercises is a bilateral Philippines-U.S annual event aimed at improving Republic of the Philippines - United States combined planning, combat readiness and interoperability while enhancing security relations. Through the Balikatan exercises, the U.S. has provided assistance related to enhancing Philippine military capabilities and competencies. It is not the Balikatan exercise series that greatly contribute to the enhancement of Philippines' Maritime Security but the relationship with the US that increases the Philippines' sense of security over our maritime issues. Furthermore, with the United States being the dominant naval power, viewed from the Philippines' perspective, the Philippines do need the support of the US in terms of naval security. In view of these outcomes, this thesis asks how future Balikatan exercises may be conducted in order to contribute to a not just the Maritime Security of the Philippines. This thesis argues that the RP-US Balikatan exercise series can be a tool in improving and enhancing the Maritime security of the Philippines by means of professionalizing and enhancing the capability of the Armed Forces of the Philippines specifically the Philippine Navy and Marine Corp.","Keywords: Balikatan Exercises, Maritime Security",March 2016
172,EMPLOYMENT STATUS OF THE PROVINCIAL GOVERNMENT- CAVITE OFFICE OF PUBLIC SAFETY (PG-COPS) EMPLOYEES AND THEIR PERFORMANCE: BASIS FOR EMPLOYEE ENHANCEMENT PROGRAM,DARIANNE M. NATIVIDAD,CLARO M. RECTO ACADEMY OF ADVANCED STUDIES,Master in Public Administration,"This study was designed to determine the relationship of the employment status of the Provincial Government-Cavite Office of Public Safety (PG-COPS) employees and their performance as basis for employee enhancement. Using the descriptive research design, 87 participants were chosen through stratified random sampling. A survey questionnaire was used to solicit responses from the participants. The results of the study showed that there was no significant relationship that existed between the employment status of the participants and their work performance using the Monte Carlo method. Such result is credible that indeed PG-COPS employees, whether permanent, casual or coterminous in employment all perform what is expected of them regardless of their employment status. Findings from the study also confirmed that there was no significant difference between the perceived effects of the employment status of the participants and their performance. Lastly, the findings revealed that there was a significant relationship that existed between the employment status and the perceived effects of their employment status to performance. PG-COPS employees, whether permanent, casual or coterminous in employment, believed that their perceptions on the effects of their employment status to performance based on employee motivation, job satisfaction, job security, organizational commitment, and capacity development were related to their employment status.",,May 2019
173,AN ASSESSMENT ON THE WORKING CONDITIONS OF NIGHT SHIFT EMPLOYEES OF IQOR DASMARINAS: A BASIS FOR A PUBLIC POLICY,ANGELINE DOMINIQUE M. ESTRELLA,CLARO M. RECTO ACADEMY OF ADVANCED STUDIES,Master in Public Administration,"The purpose of this research is to determine the working conditions of the night shift employees of iQor Dasmarinas using the four avenues of influence of the WHO Healthy Workplace Framework Model and use it as a basis for a public policy. The researcher used the quantitative-descriptive analysis method to assess the working conditions of the night shift employees as well as their demographic profile — age, gender, civil status, length of service, educational attainment, position, terms of employment and job status. The results show that most of the respondents who participated in the survey were male, and a majority of them have been working for Sprint for 1-2 years. The mght shift current working conditions can be clinched that despite their shift, and the stress they get in the nature of their job, they still managed to be in top shape. Thus, it can also be concluded that the company and their direct supervisors also consider their health important, which is the reason why they provide opportunities and resources to keep them healthy. It is recommended to make sure that the health of the employees are not being compromised, it is recommended that the company should ensure good housekeeping, train workers on safe operating procedures, perform preventive maintenance on the equipment, by adding an ultraviolet ray shield on the computers that these agents are using. It is also recommended to enforce a smoke-free policy in the company to help reduce the number of heavy smokers.",,April 2018
174,THE EFFECTS OF FEMINIZATION OF MIGRATION TO THE COLLEGE EDUCATION OF CHILDREN LEFT BEHIND: A BASIS FOR A MIGRATION POLICY FOR THE PROVINCIAL GOVERNMENT OF CAVITE,DARYLVY R. AVILA,CLARO M. RECTO ACADEMY OF ADVANCED STUDIES,Master in Public Administration,"This study is an institutional approach to a migration policy which determined the effects of feminization of migration to the college education of children left behind as a basis for an improved migration policy. Participants of this study are the mother Overseas Filipino Workers (OFW) and their children left behind. This study used two sets of questionnaires, one for mother OFWs which determines their profile and one for their children left behind which is divided into several parts such as education, mother-child relationship, communication, socio-emotional development and choice of intervention program. Data gathered were interpreted using the literature presented and interviews to key actors on migration. In general, findings of the study showed that there is no significant relationship between the effects of feminization of migration to the college education, child-mother relationship, communication and socio-emotional development of the children left behind. In adhering to existing international and national policies on migration and providing a strong migration policy in the Province of Cavite to address the concerns of mother OFW and the children they left behind, a proposed policy enhancement that incorporates the program for children left behind based on the results of the study will be recommended to the policy making body in the Provincial Government of Cavite.",,April 2018
175,ORGANIZATIONAL IMAGE OF THE PROVINCIAL GOVERNMENT OF CAVITE (PGC): EMPLOYEES’ VIEWPOINT,GENEVIEVE M. BECLON,CLARO M. RECTO ACADEMY OF ADVANCED STUDIES,Master of Arts in Public Administration,"The purpose of this study is to determine the organizational image of the Provincial Government of Cavite (PGC) as perceived by its regular employees using the instrumental-symbolic framework. The descriptive method was used in the study using the modified questionnaire distributed in 2016 using the purposive sampling at first and then employing the Slovin’s formula to a convenience sample of 309 regular PGC employees. The results showed that had somewhat positive/negative perception on the organizational image of the PGC, both for instrumental and symbolic images. The study also found out that PGC organizational images had significant relationship between sex, age and educational attainment. Participants ranked Health and Wellness Assessment Program first among the activities of the PGC that contributed to the organizational image of the PGC while Cavite Arbor Day Tree Planting activity the least. Hence, the participants had favourable and unfavourable views about the organization. Thus, it can be concluded that employees of the PGC hold both positive and negative perceptions and opinions on the organizational image of the PGC. However, it should be noted that employees varies on experiences, line of work and length of service, and any other internal and external factors that might affect in the instrumental and symbolic images of the PGC from the perspectives of employees after they have actually worked at the organization. It is recommended that PGC come up with a fair and reliable appraisal system and strengthen its Human Resource policies and strategies. PGC should also communicate to the employees their roles and responsibilities in the organization to realize individual success and the organization’s goal at the same time, contributing to a favourable actual perceived image of the organization.","Keywords: Provincial Government of Cavite, Organizational Image, Instrumental-symbolic Framework",May 2018
176,PROFILE OF SCAVENGERS IN THE CITY OF DASMARINAS: BASIS FOR POVERTY REDUCTION PROGRAM,JACINTO B. FRANI JR.,CLARO M. RECTO ACADEMY OF ADVANCED STUDIES,Master in Public Administration,"Poverty is a critical social problem that has confronted many government leaders, particularly in the Despite the poverty reduction programs being implemented by the government, poverty continues to be a pressing issue today. The purpose of this research is to determine the profile of the scavengers in the City of Dasmarinas and to provide a program for poverty reduction specifically for them. The researcher used the embedded design composed of both quantitative and qualitative methods. survey questionnaire was distributed to the 225 participants, all scavengers who were purposively chosen based on the criteria of residency and occupation. Scavenging was chosen as the primary occupation of the participants because it is a marginal activity. A focus group discussion (FGD) was conducted with barangay officials who had served the community for two (2) or more years. ‘The results showed that the participants were generally male, of relatively young age between 18 to 23 years old and finished elementary education, earning an average of Php 50.00 to Php99.00 per day to support one (1) to three (3) dependents. While all 10 programs and services implemented by the City of Dasmarinas were available to all, the participants only availed of health-related ones: free vaccination for infants and babies, annual provision for free denture, wheelchair and cleft palate operation and Philhealth for indigents. | Among these programs and services, they found the provision of free funeral benefits as very effective, and scholarships grants and TESDA and ALS offerings, as effective. They perceived that 40% of the programs and services provided by the city government are ineffective. On the other hand, the barangay officials, through the survey questionnaire and the FGD, perceived otherwise and looked at the failure of the participants to provide requirements needed as the cause for their inability to avail of them. In conclusion, the participants were not able to avail of most, if not all, the programs and services of the city government. The recommendations given are the following: information dissemination be intensified, minimal or streamlined requirements for the marginalized sector of the city be put in place, a feasibility study on the proposed program be undertaken and the proposed program for the participants, Kalakalan Central, be implemented to help alleviate their living conditions. ","Keywords: poverty, scavengers, Kalakan Central",February 2017
